01-Oct-2020,Stofzuigen,"00:21 "
01-Oct-2020,"Koelkast schoonmaken","00:51 "
06-Oct-2020,Stofzuigen,"00:21 "
06-Oct-2020,"Koelkast schoonmaken","00:51 "
08-Oct-2020,Stofzuigen,"00:21 "
13-Oct-2020,Stofzuigen,"00:21 "
15-Oct-2020,Stofzuigen,"00:21 "
20-Oct-2020,Stofzuigen,"00:21 "
22-Oct-2020,Stofzuigen,"00:21 "
23-Oct-2020,"Ramen lappen","00:35 "
27-Oct-2020,Stofzuigen,"00:21 "
29-Oct-2020,Stofzuigen,"00:21 "
03-Nov-2020,Stofzuigen,"00:21 "
03-Nov-2020,"Koelkast schoonmaken","00:51 "
05-Nov-2020,Stofzuigen,"00:21 "
05-Nov-2020,"Koelkast schoonmaken","00:51 "
10-Nov-2020,Stofzuigen,"00:21 "
12-Nov-2020,Stofzuigen,"00:21 "
17-Nov-2020,Stofzuigen,"00:21 "
19-Nov-2020,Stofzuigen,"00:21 "
24-Nov-2020,Stofzuigen,"00:21 "
26-Nov-2020,Stofzuigen,"00:21 "
27-Nov-2020,"Ramen lappen","00:35 "
01-Dec-2020,Stofzuigen,"00:21 "
01-Dec-2020,"Koelkast schoonmaken","00:51 "
03-Dec-2020,Stofzuigen,"00:21 "
03-Dec-2020,"Koelkast schoonmaken","00:51 "
08-Dec-2020,Stofzuigen,"00:21 "
10-Dec-2020,Stofzuigen,"00:21 "
15-Dec-2020,Stofzuigen,"00:21 "
17-Dec-2020,Stofzuigen,"00:21 "
22-Dec-2020,Stofzuigen,"00:21 "
24-Dec-2020,Stofzuigen,"00:21 "
25-Dec-2020,"Ramen lappen","00:35 "
29-Dec-2020,Stofzuigen,"00:21 "
31-Dec-2020,Stofzuigen,"00:21 "
05-Jan-2021,Stofzuigen,"00:21 "
05-Jan-2021,"Koelkast schoonmaken","00:51 "
07-Jan-2021,Stofzuigen,"00:21 "
07-Jan-2021,"Koelkast schoonmaken","00:51 "
12-Jan-2021,Stofzuigen,"00:21 "
14-Jan-2021,Stofzuigen,"00:21 "
19-Jan-2021,Stofzuigen,"00:21 "
21-Jan-2021,Stofzuigen,"00:21 "
22-Jan-2021,"Ramen lappen","00:35 "
26-Jan-2021,Stofzuigen,"00:21 "
28-Jan-2021,Stofzuigen,"00:21 "
